0.4280	26.58	22.922	38
0.4280	30.58	23.502	12
0.4280	38.58	22.053	99
0.4312	26.36	17.213	15
0.4312	30.36	17.137	101
0.4312	34.36	17.186	56
0.4312	38.36	14.856	87
0.4312	42.36	14.880	58
0.4312	46.36	14.882	31
0.4312	50.36	14.882	40
0.4312	54.36	22.416	16
0.4312	58.36	22.452	15
0.4328	26.29	28.821	117
0.4328	38.29	23.632	47
0.4328	42.29	24.084	24
0.4328	46.29	23.425	93
0.4328	50.29	23.901	3
0.4344	26.14	25.544	45
0.4344	30.14	26.233	6
0.4344	38.14	19.577	120
0.4344	46.14	18.813	118
0.4360	25.94	24.245	60
0.4360	37.94	16.857	87
0.4360	45.94	15.523	57
0.4376	25.82	24.126	38
0.4376	29.82	24.240	71
0.4376	33.82	20.281	39
0.4376	37.82	12.089	87
0.4376	41.82	12.089	102
0.4376	45.82	9.952	112
0.4376	49.82	9.952	141
0.4376	53.82	9.950	87
0.4376	57.82	9.951	50
0.4392	25.65	26.367	120
0.4392	33.65	21.789	9
0.4392	37.65	21.748	95
0.4392	45.65	22.802	36
0.4392	49.65	23.284	23
0.4408	25.48	23.287	117
0.4408	37.48	19.388	99
0.4408	45.48	20.680	35
0.4408	49.48	20.967	36
0.4424	25.39	18.804	6
0.4424	29.39	18.804	60
0.4424	33.39	18.797	42
0.4424	37.39	17.694	64
0.4424	41.39	17.676	70
0.4424	45.39	17.685	29
0.4424	49.39	17.701	51
0.4424	53.39	18.246	25
0.4424	57.39	18.261	15
0.4440	25.22	20.930	76
0.4440	37.22	17.927	173
0.4440	45.22	19.677	54
0.4440	49.22	19.764	134
0.4456	25.15	15.862	140
0.4456	29.15	15.842	67
0.4456	33.15	15.842	37
0.4456	37.15	13.389	159
0.4456	41.15	13.385	55
0.4456	45.15	13.387	56
0.4456	49.15	13.391	137
0.4456	53.15	15.010	33
0.4456	57.15	15.010	31
0.4472	25.01	17.118	81
0.4472	29.01	17.122	63
0.4472	33.01	17.122	26
0.4472	37.01	17.122	133
0.4472	41.01	17.561	60
0.4472	45.01	17.566	26
0.4472	49.01	17.577	126
0.4488	24.89	21.653	111
0.4488	36.89	21.564	64
0.4504	24.78	21.895	51
0.4504	36.78	18.827	121
0.4504	48.78	17.483	65
0.4520	24.57	10.735	215
0.4520	28.57	7.997	80
0.4520	32.57	7.854	51
0.4520	36.57	7.539	115
0.4520	40.57	7.539	27
0.4536	24.45	5.763	129
0.4536	28.45	5.566	139
0.4536	32.45	5.691	47
0.4536	36.45	5.704	44
0.4536	40.45	5.704	89
0.4536	44.45	17.125	74
0.4536	48.45	17.135	82
0.4536	52.45	18.711	26
0.4536	56.45	18.742	18
0.4552	24.38	17.096	111
0.4552	28.38	17.714	9
0.4552	36.38	17.171	19
0.4552	40.38	17.151	77
0.4552	44.38	17.151	60
0.4552	48.38	17.161	54
0.4552	52.38	22.280	12
0.4552	56.38	22.280	9
0.4568	24.23	22.194	139
0.4568	28.23	25.886	36
0.4568	36.23	20.461	172
0.4568	44.23	22.242	79
0.4584	24.15	17.722	172
0.4584	28.15	17.722	95
0.4584	32.15	17.730	54
0.4584	36.15	8.075	168
0.4584	40.15	15.826	76
0.4584	44.15	15.826	68
0.4584	48.15	15.830	30
0.4600	23.98	15.663	150
0.4600	27.98	15.198	81
0.4600	31.98	14.852	62
0.4600	35.98	6.074	397
0.4600	39.98	6.162	86
0.4600	43.98	5.304	249
0.4600	47.98	5.304	65
0.4600	51.98	5.491	30
0.4600	55.98	12.850	6
0.4616	23.83	11.402	206
0.4616	27.83	11.294	64
0.4616	31.83	11.363	35
0.4616	35.83	11.370	157
0.4616	39.83	11.370	18
0.4616	43.83	8.009	337
0.4616	47.83	12.919	12
0.4616	51.83	5.255	14
0.4616	55.83	5.255	3
0.4632	23.77	17.783	64
0.4632	35.77	19.108	71
0.4632	43.77	4.078	221
0.4632	47.77	4.078	31
0.4632	51.77	4.196	22
0.4632	55.77	4.196	9
0.4648	23.58	20.642	285
0.4648	27.58	21.130	65
0.4648	35.58	13.840	262
0.4648	39.58	13.840	110
0.4648	43.58	13.820	396
0.4648	47.58	13.820	36
0.4664	23.45	21.108	197
0.4664	27.45	21.619	40
0.4664	35.45	14.297	113
0.4664	39.45	14.297	156
0.4664	43.45	13.838	244
0.4664	47.45	13.780	87
0.4664	51.45	13.780	52
0.4664	55.45	13.863	37
0.4680	23.24	17.199	48
0.4680	27.24	17.199	77
0.4680	31.24	17.147	35
0.4680	35.24	17.172	58
0.4680	39.24	17.220	47
0.4680	43.24	18.944	65
0.4680	47.24	18.311	68
0.4680	51.24	17.969	39
0.4680	55.24	17.891	40
0.4696	23.08	18.085	46
0.4696	27.08	18.085	68
0.4696	31.08	17.985	31
0.4696	35.08	18.019	60
0.4696	39.08	18.114	45
0.4696	43.08	19.765	55
0.4696	47.08	19.135	52
0.4696	51.08	19.066	31
0.4696	55.08	26.802	15
0.4712	22.99	6.284	88
0.4712	26.99	22.661	64
0.4712	30.99	18.597	19
0.4712	34.99	4.001	103
0.4712	38.99	4.001	47
0.4712	42.99	20.330	78
0.4712	46.99	19.707	71
0.4712	50.99	19.655	27
0.4712	54.99	27.316	15
0.4728	22.82	4.302	283
0.4728	26.82	4.031	148
0.4728	30.82	3.984	30
0.4728	34.82	3.740	287
0.4728	38.82	3.740	184
0.4728	42.82	4.982	214
0.4728	46.82	4.789	127
0.4728	50.82	6.198	54
0.4728	54.82	6.198	31
0.4744	22.54	4.532	205
0.4744	26.54	4.361	320
0.4744	30.54	4.470	60
0.4744	34.54	4.481	273
0.4744	38.54	4.481	235
0.4744	42.54	5.524	494
0.4744	46.54	5.459	122
0.4744	50.54	6.596	61
0.4744	54.54	6.596	30
0.4760	22.42	5.718	224
0.4760	26.42	5.563	353
0.4760	30.42	5.661	58
0.4760	34.42	5.671	182
0.4760	38.42	5.671	273
0.4760	42.42	6.770	486
0.4760	46.42	6.712	66
0.4760	50.42	7.756	45
0.4760	54.42	7.756	21
0.4776	22.18	14.753	134
0.4776	26.18	17.624	367
0.4776	30.18	38.382	86
0.4776	34.18	14.990	221
0.4776	38.18	27.173	300
0.4776	42.18	9.995	319
0.4776	46.18	9.995	167
0.4776	50.18	10.041	109
0.4776	54.18	10.041	41
0.4792	22.04	17.895	124
0.4792	26.04	18.278	502
0.4792	30.04	37.991	100
0.4792	34.04	18.655	287
0.4792	38.04	28.239	365
0.4792	42.04	15.759	235
0.4792	46.04	27.485	221
0.4792	50.04	27.343	107
0.4792	54.04	27.411	33
0.4808	21.75	20.111	32
0.4808	25.75	20.266	186
0.4808	29.75	40.383	131
0.4808	33.75	20.227	396
0.4808	37.75	20.827	516
0.4808	41.75	19.533	209
0.4808	45.75	29.814	393
0.4808	49.75	29.674	213
0.4808	53.75	29.741	70
0.4824	21.52	21.685	39
0.4824	25.52	21.764	292
0.4824	29.52	39.465	119
0.4824	33.52	21.622	195
0.4824	37.52	22.162	126
0.4824	41.52	20.605	106
0.4824	45.52	21.038	216
0.4824	49.52	31.288	60
0.4824	53.52	31.353	26
0.4840	21.43	17.912	17
0.4840	25.43	17.464	276
0.4840	29.43	16.850	82
0.4840	33.43	16.665	243
0.4840	37.43	16.827	287
0.4840	41.43	20.805	149
0.4840	45.43	21.221	329
0.4840	49.43	31.815	167
0.4840	53.43	31.879	53
0.4856	21.25	14.140	33
0.4856	25.25	14.110	161
0.4856	29.25	14.129	138
0.4856	33.25	14.131	241
0.4856	37.25	14.293	122
0.4856	41.25	21.516	203
0.4856	45.25	14.511	418
0.4856	49.25	14.511	164
0.4856	53.25	14.511	104
0.4872	21.09	19.669	31
0.4872	25.09	19.859	74
0.4872	29.09	22.031	121
0.4872	33.09	22.186	169
0.4872	37.09	22.301	111
0.4872	41.09	24.177	79
0.4872	45.09	19.068	408
0.4872	49.09	24.062	122
0.4872	53.09	24.117	61
0.4888	21.03	20.432	8
0.4888	25.03	21.133	72
0.4888	29.03	22.386	178
0.4888	33.03	22.544	174
0.4888	37.03	22.666	140
0.4888	41.03	21.968	67
0.4888	45.03	19.456	281
0.4888	49.03	22.244	38
0.4888	53.03	24.604	47
0.4904	20.92	20.645	41
0.4904	24.92	20.291	542
0.4904	28.92	20.145	190
0.4904	32.92	20.145	149
0.4904	36.92	20.215	407
0.4904	40.92	20.365	293
0.4904	44.92	19.295	661
0.4904	48.92	25.070	65
0.4904	52.92	25.134	30
0.4920	20.87	20.795	21
0.4920	24.87	20.411	765
0.4920	28.87	20.266	89
0.4920	32.87	20.266	162
0.4920	36.87	20.335	444
0.4920	40.87	17.758	192
0.4920	44.87	17.758	469
0.4920	48.87	17.731	177
0.4920	52.87	17.744	81
0.4936	20.79	21.490	24
0.4936	24.79	21.574	509
0.4936	28.79	39.600	68
0.4936	32.79	39.502	38
0.4936	36.79	39.549	46
0.4936	40.79	39.640	18
0.4936	44.79	18.948	72
0.4968	20.68	28.005	3
0.4968	24.68	28.005	33
0.4968	28.68	27.938	25
0.4968	32.68	20.261	21
0.4968	36.68	20.248	77
0.4968	40.68	20.248	30
0.4968	44.68	20.254	30
0.4984	20.62	26.111	72
0.4984	24.62	26.649	33
0.4984	32.62	22.006	32
0.4984	36.62	22.365	9
0.5000	20.58	25.109	7
0.5000	32.58	22.715	49
0.5000	36.58	23.180	6
0.5016	20.46	16.949	120
0.5016	24.46	16.908	31
0.5016	28.46	16.934	29
0.5016	32.46	16.937	116
0.5016	36.46	17.100	3
0.5016	44.46	26.097	35
0.5016	48.46	25.778	22
0.5016	52.46	25.698	15
0.5032	20.26	18.638	75
0.5032	24.26	18.107	31
0.5032	28.26	17.148	18
0.5032	32.26	17.148	141
0.5032	36.26	17.148	33
0.5032	40.26	17.148	26
0.5032	44.26	17.148	155
0.5048	20.18	13.402	96
0.5048	24.18	13.437	52
0.5048	28.18	13.441	47
0.5048	32.18	13.441	66
0.5048	36.18	16.230	29
0.5048	40.18	16.230	22
0.5048	44.18	16.230	13
0.5064	20.04	18.596	60
0.5064	32.04	19.686	91
0.5064	44.04	16.713	70
0.5080	19.90	20.543	195
0.5080	23.90	22.394	18
0.5080	31.90	16.175	230
0.5080	35.90	16.168	58
0.5080	39.90	16.168	37
0.5080	43.90	13.357	93
0.5080	47.90	13.326	47
0.5080	51.90	13.341	41
0.5096	19.80	17.211	60
0.5096	23.80	17.211	103
0.5096	27.80	17.201	60
0.5096	31.80	16.648	119
0.5096	35.80	16.579	64
0.5096	39.80	16.579	29
0.5096	43.80	16.583	20
0.5112	19.57	23.139	184
0.5112	27.57	20.128	60
0.5112	31.57	20.322	91
0.5128	19.47	23.790	74
0.5128	27.47	20.425	12
0.5128	31.47	20.545	81
0.5144	19.29	21.740	58
0.5144	23.29	19.716	31
0.5144	27.29	19.778	19
0.5144	31.29	16.934	40
0.5144	35.29	16.932	31
